,RECORDING_SESSION_LABEL,TRIAL_INDEX,CURRENT_FIX_INDEX,CURRENT_FIX_START,CURRENT_FIX_END,CURRENT_FIX_DURATION,CURRENT_FIX_INTEREST_AREA_LABEL,CURRENT_FIX_INTEREST_AREA_ID,CURRENT_FIX_INTEREST_AREA_RUN_ID,CURRENT_FIX_PUPIL,CURRENT_FIX_X,CURRENT_FIX_Y,CURRENT_FIX_X_RESOLUTION,CURRENT_FIX_Y_RESOLUTION,EYE_REPORTED,PREVIOUS_FIX_INTEREST_AREA_ID,NEXT_FIX_INTEREST_AREA_ID,Session_Name_,associatedword,condition,targetword,Trial_Index_,Trial_Recycled_,answerkey,associativechunk,correct,correctAnswer,correct_1,group,identifier_1,itemid,qu_1,question,question_1,questiontext,storytopic,targetwordchunk,text,text_1,trial_1,IA_LABEL,IA_ID,IA_ROLE,x_offset,y_offset,line_number,word_index_in_line,x_canonical,y_canonical
0,P39LJ1,1,1,571,700,133,Felix,1,1,"1140,00",181,184,"38,85","38,50",RIGHT,.,2,P39LJ1,Antibiotikum,everyday_pseudo,Irhaption,1,False,j,26.0,f,False,j,J1,practise,24_everyday_pseudo,True,1,Schaute Daniel gerne Cartoons über Ritter?,Sind Felix und Tom Skateboard gefahren?,everyday,19.0,"Felix und Tom verbrachten den Nachmittag mit Inline-Skaten \nim nahegelegenen Park. Tom versuchte, eine gewagte Kurve zu nehmen, doch er stürzte. \nFelix half ihm auf und sie eiltenzu Toms Eltern, die in der Nähe picknickten. \nToms Mutter machte sich Sorgen um ihren Sohn und nahm ihn in den Arm. \nDa immer noch die Möglichkeit einer Irhaption bestand, wurde er sorgfältig überwacht. \nSie wollte vermeiden, dass ein Antibiotikum eingesetzt werden müsste. \nToms Mutter beruhigte sich allerdings nach kurzer Zeit wieder und atmete auf, \nals ihr Sohn lachte. Von nun an zogTom immer seine Knieschoner an \nund fuhr nicht mehr so waghalsig. Am nächsten Tag spielten Felix und Tom wieder \nzusammen im Park und sie verbrachten einen schönen Nachmittag zusammen.","Der Klassenlehrer, Herr Stahl, erzählte seiner vierten Klasse heute etwas über Ritter.\nJeder durfte sich melden und erzählen, was er schon über Ritter wusste.\nDaniel wusste besonders viel, denn er schaute gerne Cartoons über einen Ritter.\nHerr Stahl hatte heute etwas ganz Besonderes für seine Lieblingsklasse geplant.\nZur Veranschaulichung holte er ein Instrument hervor und legte es auf den Tisch.\nEs handelte sich um ein Werkzeug zur Fertigung der Rüstungen aus dem Mittelalter. \nHerr Stahl erklärte den Schülern, wie diese beeindruckenden Rüstungen den Rittern\nSchutz im Kampf boten. Anschließend gab Herr Stahl den Schülern eine Aufgabe.\nSie sollten nun ihre eigene Ritterrüstung auf ein Blatt malen.\nDaniel zeichnete eine Ritterrüstung, die so aussah wie in dem Cartoon.",2,Felix,1,,0.8559322033898306,0.8082191780821918,1.0,1,233.34008097165997,184.0
1,P39LJ1,1,2,728,848,124,und,2,1,"1170,00",251,158,"38,10","38,10",RIGHT,1,4,P39LJ1,Antibiotikum,everyday_pseudo,Irhaption,1,False,j,26.0,f,False,j,J1,practise,24_everyday_pseudo,True,1,Schaute Daniel gerne Cartoons über Ritter?,Sind Felix und Tom Skateboard gefahren?,everyday,19.0,"Felix und Tom verbrachten den Nachmittag mit Inline-Skaten \nim nahegelegenen Park. Tom versuchte, eine gewagte Kurve zu nehmen, doch er stürzte. \nFelix half ihm auf und sie eiltenzu Toms Eltern, die in der Nähe picknickten. \nToms Mutter machte sich Sorgen um ihren Sohn und nahm ihn in den Arm. \nDa immer noch die Möglichkeit einer Irhaption bestand, wurde er sorgfältig überwacht. \nSie wollte vermeiden, dass ein Antibiotikum eingesetzt werden müsste. \nToms Mutter beruhigte sich allerdings nach kurzer Zeit wieder und atmete auf, \nals ihr Sohn lachte. Von nun an zogTom immer seine Knieschoner an \nund fuhr nicht mehr so waghalsig. Am nächsten Tag spielten Felix und Tom wieder \nzusammen im Park und sie verbrachten einen schönen Nachmittag zusammen.","Der Klassenlehrer, Herr Stahl, erzählte seiner vierten Klasse heute etwas über Ritter.\nJeder durfte sich melden und erzählen, was er schon über Ritter wusste.\nDaniel wusste besonders viel, denn er schaute gerne Cartoons über einen Ritter.\nHerr Stahl hatte heute etwas ganz Besonderes für seine Lieblingsklasse geplant.\nZur Veranschaulichung holte er ein Instrument hervor und legte es auf den Tisch.\nEs handelte sich um ein Werkzeug zur Fertigung der Rüstungen aus dem Mittelalter. \nHerr Stahl erklärte den Schülern, wie diese beeindruckenden Rüstungen den Rittern\nSchutz im Kampf boten. Anschließend gab Herr Stahl den Schülern eine Aufgabe.\nSie sollten nun ihre eigene Ritterrüstung auf ein Blatt malen.\nDaniel zeichnete eine Ritterrüstung, die so aussah wie in dem Cartoon.",2,und,2,,0.828125,0.4520547945205479,1.0,2,339.61538461538464,158.0
2,P39LJ1,1,3,888,1092,208,verbrachten,4,1,"1095,00",410,166,"36,60","37,40",RIGHT,2,6,P39LJ1,Antibiotikum,everyday_pseudo,Irhaption,1,False,j,26.0,f,False,j,J1,practise,24_everyday_pseudo,True,1,Schaute Daniel gerne Cartoons über Ritter?,Sind Felix und Tom Skateboard gefahren?,everyday,19.0,"Felix und Tom verbrachten den Nachmittag mit Inline-Skaten \nim nahegelegenen Park. Tom versuchte, eine gewagte Kurve zu nehmen, doch er stürzte. \nFelix half ihm auf und sie eiltenzu Toms Eltern, die in der Nähe picknickten. \nToms Mutter machte sich Sorgen um ihren Sohn und nahm ihn in den Arm. \nDa immer noch die Möglichkeit einer Irhaption bestand, wurde er sorgfältig überwacht. \nSie wollte vermeiden, dass ein Antibiotikum eingesetzt werden müsste. \nToms Mutter beruhigte sich allerdings nach kurzer Zeit wieder und atmete auf, \nals ihr Sohn lachte. Von nun an zogTom immer seine Knieschoner an \nund fuhr nicht mehr so waghalsig. Am nächsten Tag spielten Felix und Tom wieder \nzusammen im Park und sie verbrachten einen schönen Nachmittag zusammen.","Der Klassenlehrer, Herr Stahl, erzählte seiner vierten Klasse heute etwas über Ritter.\nJeder durfte sich melden und erzählen, was er schon über Ritter wusste.\nDaniel wusste besonders viel, denn er schaute gerne Cartoons über einen Ritter.\nHerr Stahl hatte heute etwas ganz Besonderes für seine Lieblingsklasse geplant.\nZur Veranschaulichung holte er ein Instrument hervor und legte es auf den Tisch.\nEs handelte sich um ein Werkzeug zur Fertigung der Rüstungen aus dem Mittelalter. \nHerr Stahl erklärte den Schülern, wie diese beeindruckenden Rüstungen den Rittern\nSchutz im Kampf boten. Anschließend gab Herr Stahl den Schülern eine Aufgabe.\nSie sollten nun ihre eigene Ritterrüstung auf ein Blatt malen.\nDaniel zeichnete eine Ritterrüstung, die so aussah wie in dem Cartoon.",2,verbrachten,4,,0.4375,0.5616438356164384,1.0,4,581.0121457489879,166.0
3,P39LJ1,1,4,1136,1312,180,Nachmittag,6,1,"1050,00",638,158,"35,40","36,70",RIGHT,4,4,P39LJ1,Antibiotikum,everyday_pseudo,Irhaption,1,False,j,26.0,f,False,j,J1,practise,24_everyday_pseudo,True,1,Schaute Daniel gerne Cartoons über Ritter?,Sind Felix und Tom Skateboard gefahren?,everyday,19.0,"Felix und Tom verbrachten den Nachmittag mit Inline-Skaten \nim nahegelegenen Park. Tom versuchte, eine gewagte Kurve zu nehmen, doch er stürzte. \nFelix half ihm auf und sie eiltenzu Toms Eltern, die in der Nähe picknickten. \nToms Mutter machte sich Sorgen um ihren Sohn und nahm ihn in den Arm. \nDa immer noch die Möglichkeit einer Irhaption bestand, wurde er sorgfältig überwacht. \nSie wollte vermeiden, dass ein Antibiotikum eingesetzt werden müsste. \nToms Mutter beruhigte sich allerdings nach kurzer Zeit wieder und atmete auf, \nals ihr Sohn lachte. Von nun an zogTom immer seine Knieschoner an \nund fuhr nicht mehr so waghalsig. Am nächsten Tag spielten Felix und Tom wieder \nzusammen im Park und sie verbrachten einen schönen Nachmittag zusammen.","Der Klassenlehrer, Herr Stahl, erzählte seiner vierten Klasse heute etwas über Ritter.\nJeder durfte sich melden und erzählen, was er schon über Ritter wusste.\nDaniel wusste besonders viel, denn er schaute gerne Cartoons über einen Ritter.\nHerr Stahl hatte heute etwas ganz Besonderes für seine Lieblingsklasse geplant.\nZur Veranschaulichung holte er ein Instrument hervor und legte es auf den Tisch.\nEs handelte sich um ein Werkzeug zur Fertigung der Rüstungen aus dem Mittelalter. \nHerr Stahl erklärte den Schülern, wie diese beeindruckenden Rüstungen den Rittern\nSchutz im Kampf boten. Anschließend gab Herr Stahl den Schülern eine Aufgabe.\nSie sollten nun ihre eigene Ritterrüstung auf ein Blatt malen.\nDaniel zeichnete eine Ritterrüstung, die so aussah wie in dem Cartoon.",2,Nachmittag,6,,0.3181818181818182,0.4520547945205479,1.0,6,927.165991902834,158.0
4,P39LJ1,1,5,1348,1500,156,verbrachten,4,2,"1042,00",481,159,"36,15","37,10",RIGHT,6,4,P39LJ1,Antibiotikum,everyday_pseudo,Irhaption,1,False,j,26.0,f,False,j,J1,practise,24_everyday_pseudo,True,1,Schaute Daniel gerne Cartoons über Ritter?,Sind Felix und Tom Skateboard gefahren?,everyday,19.0,"Felix und Tom verbrachten den Nachmittag mit Inline-Skaten \nim nahegelegenen Park. Tom versuchte, eine gewagte Kurve zu nehmen, doch er stürzte. \nFelix half ihm auf und sie eiltenzu Toms Eltern, die in der Nähe picknickten. \nToms Mutter machte sich Sorgen um ihren Sohn und nahm ihn in den Arm. \nDa immer noch die Möglichkeit einer Irhaption bestand, wurde er sorgfältig überwacht. \nSie wollte vermeiden, dass ein Antibiotikum eingesetzt werden müsste. \nToms Mutter beruhigte sich allerdings nach kurzer Zeit wieder und atmete auf, \nals ihr Sohn lachte. Von nun an zogTom immer seine Knieschoner an \nund fuhr nicht mehr so waghalsig. Am nächsten Tag spielten Felix und Tom wieder \nzusammen im Park und sie verbrachten einen schönen Nachmittag zusammen.","Der Klassenlehrer, Herr Stahl, erzählte seiner vierten Klasse heute etwas über Ritter.\nJeder durfte sich melden und erzählen, was er schon über Ritter wusste.\nDaniel wusste besonders viel, denn er schaute gerne Cartoons über einen Ritter.\nHerr Stahl hatte heute etwas ganz Besonderes für seine Lieblingsklasse geplant.\nZur Veranschaulichung holte er ein Instrument hervor und legte es auf den Tisch.\nEs handelte sich um ein Werkzeug zur Fertigung der Rüstungen aus dem Mittelalter. \nHerr Stahl erklärte den Schülern, wie diese beeindruckenden Rüstungen den Rittern\nSchutz im Kampf boten. Anschließend gab Herr Stahl den Schülern eine Aufgabe.\nSie sollten nun ihre eigene Ritterrüstung auf ein Blatt malen.\nDaniel zeichnete eine Ritterrüstung, die so aussah wie in dem Cartoon.",2,verbrachten,4,,0.8072916666666666,0.4657534246575342,1.0,4,688.8056680161943,159.0
5,P39LJ1,1,6,1524,1620,100,verbrachten,4,2,"1041,00",424,161,"36,50","37,30",RIGHT,4,6,P39LJ1,Antibiotikum,everyday_pseudo,Irhaption,1,False,j,26.0,f,False,j,J1,practise,24_everyday_pseudo,True,1,Schaute Daniel gerne Cartoons über Ritter?,Sind Felix und Tom Skateboard gefahren?,everyday,19.0,"Felix und Tom verbrachten den Nachmittag mit Inline-Skaten \nim nahegelegenen Park. Tom versuchte, eine gewagte Kurve zu nehmen, doch er stürzte. \nFelix half ihm auf und sie eiltenzu Toms Eltern, die in der Nähe picknickten. \nToms Mutter machte sich Sorgen um ihren Sohn und nahm ihn in den Arm. \nDa immer noch die Möglichkeit einer Irhaption bestand, wurde er sorgfältig überwacht. \nSie wollte vermeiden, dass ein Antibiotikum eingesetzt werden müsste. \nToms Mutter beruhigte sich allerdings nach kurzer Zeit wieder und atmete auf, \nals ihr Sohn lachte. Von nun an zogTom immer seine Knieschoner an \nund fuhr nicht mehr so waghalsig. Am nächsten Tag spielten Felix und Tom wieder \nzusammen im Park und sie verbrachten einen schönen Nachmittag zusammen.","Der Klassenlehrer, Herr Stahl, erzählte seiner vierten Klasse heute etwas über Ritter.\nJeder durfte sich melden und erzählen, was er schon über Ritter wusste.\nDaniel wusste besonders viel, denn er schaute gerne Cartoons über einen Ritter.\nHerr Stahl hatte heute etwas ganz Besonderes für seine Lieblingsklasse geplant.\nZur Veranschaulichung holte er ein Instrument hervor und legte es auf den Tisch.\nEs handelte sich um ein Werkzeug zur Fertigung der Rüstungen aus dem Mittelalter. \nHerr Stahl erklärte den Schülern, wie diese beeindruckenden Rüstungen den Rittern\nSchutz im Kampf boten. Anschließend gab Herr Stahl den Schülern eine Aufgabe.\nSie sollten nun ihre eigene Ritterrüstung auf ein Blatt malen.\nDaniel zeichnete eine Ritterrüstung, die so aussah wie in dem Cartoon.",2,verbrachten,4,,0.5104166666666666,0.4931506849315068,1.0,4,602.2672064777328,161.0
6,P39LJ1,1,7,1664,1908,248,Nachmittag,6,2,"1045,00",669,151,"35,30","36,70",RIGHT,4,8,P39LJ1,Antibiotikum,everyday_pseudo,Irhaption,1,False,j,26.0,f,False,j,J1,practise,24_everyday_pseudo,True,1,Schaute Daniel gerne Cartoons über Ritter?,Sind Felix und Tom Skateboard gefahren?,everyday,19.0,"Felix und Tom verbrachten den Nachmittag mit Inline-Skaten \nim nahegelegenen Park. Tom versuchte, eine gewagte Kurve zu nehmen, doch er stürzte. \nFelix half ihm auf und sie eiltenzu Toms Eltern, die in der Nähe picknickten. \nToms Mutter machte sich Sorgen um ihren Sohn und nahm ihn in den Arm. \nDa immer noch die Möglichkeit einer Irhaption bestand, wurde er sorgfältig überwacht. \nSie wollte vermeiden, dass ein Antibiotikum eingesetzt werden müsste. \nToms Mutter beruhigte sich allerdings nach kurzer Zeit wieder und atmete auf, \nals ihr Sohn lachte. Von nun an zogTom immer seine Knieschoner an \nund fuhr nicht mehr so waghalsig. Am nächsten Tag spielten Felix und Tom wieder \nzusammen im Park und sie verbrachten einen schönen Nachmittag zusammen.","Der Klassenlehrer, Herr Stahl, erzählte seiner vierten Klasse heute etwas über Ritter.\nJeder durfte sich melden und erzählen, was er schon über Ritter wusste.\nDaniel wusste besonders viel, denn er schaute gerne Cartoons über einen Ritter.\nHerr Stahl hatte heute etwas ganz Besonderes für seine Lieblingsklasse geplant.\nZur Veranschaulichung holte er ein Instrument hervor und legte es auf den Tisch.\nEs handelte sich um ein Werkzeug zur Fertigung der Rüstungen aus dem Mittelalter. \nHerr Stahl erklärte den Schülern, wie diese beeindruckenden Rüstungen den Rittern\nSchutz im Kampf boten. Anschließend gab Herr Stahl den Schülern eine Aufgabe.\nSie sollten nun ihre eigene Ritterrüstung auf ein Blatt malen.\nDaniel zeichnete eine Ritterrüstung, die so aussah wie in dem Cartoon.",2,Nachmittag,6,,0.4943181818181818,0.3561643835616438,1.0,6,974.2307692307693,151.0
7,P39LJ1,1,8,1952,2196,248,Inline-Skaten,8,1,"1064,00",875,155,"35,10","36,60",RIGHT,6,7,P39LJ1,Antibiotikum,everyday_pseudo,Irhaption,1,False,j,26.0,f,False,j,J1,practise,24_everyday_pseudo,True,1,Schaute Daniel gerne Cartoons über Ritter?,Sind Felix und Tom Skateboard gefahren?,everyday,19.0,"Felix und Tom verbrachten den Nachmittag mit Inline-Skaten \nim nahegelegenen Park. Tom versuchte, eine gewagte Kurve zu nehmen, doch er stürzte. \nFelix half ihm auf und sie eiltenzu Toms Eltern, die in der Nähe picknickten. \nToms Mutter machte sich Sorgen um ihren Sohn und nahm ihn in den Arm. \nDa immer noch die Möglichkeit einer Irhaption bestand, wurde er sorgfältig überwacht. \nSie wollte vermeiden, dass ein Antibiotikum eingesetzt werden müsste. \nToms Mutter beruhigte sich allerdings nach kurzer Zeit wieder und atmete auf, \nals ihr Sohn lachte. Von nun an zogTom immer seine Knieschoner an \nund fuhr nicht mehr so waghalsig. Am nächsten Tag spielten Felix und Tom wieder \nzusammen im Park und sie verbrachten einen schönen Nachmittag zusammen.","Der Klassenlehrer, Herr Stahl, erzählte seiner vierten Klasse heute etwas über Ritter.\nJeder durfte sich melden und erzählen, was er schon über Ritter wusste.\nDaniel wusste besonders viel, denn er schaute gerne Cartoons über einen Ritter.\nHerr Stahl hatte heute etwas ganz Besonderes für seine Lieblingsklasse geplant.\nZur Veranschaulichung holte er ein Instrument hervor und legte es auf den Tisch.\nEs handelte sich um ein Werkzeug zur Fertigung der Rüstungen aus dem Mittelalter. \nHerr Stahl erklärte den Schülern, wie diese beeindruckenden Rüstungen den Rittern\nSchutz im Kampf boten. Anschließend gab Herr Stahl den Schülern eine Aufgabe.\nSie sollten nun ihre eigene Ritterrüstung auf ein Blatt malen.\nDaniel zeichnete eine Ritterrüstung, die so aussah wie in dem Cartoon.",2,Inline-Skaten,8,,0.21544715447154472,0.410958904109589,1.0,8,1286.9838056680162,155.0
8,P39LJ1,1,9,2224,2396,176,mit,7,1,"1081,00",812,150,"35,10","36,60",RIGHT,8,8,P39LJ1,Antibiotikum,everyday_pseudo,Irhaption,1,False,j,26.0,f,False,j,J1,practise,24_everyday_pseudo,True,1,Schaute Daniel gerne Cartoons über Ritter?,Sind Felix und Tom Skateboard gefahren?,everyday,19.0,"Felix und Tom verbrachten den Nachmittag mit Inline-Skaten \nim nahegelegenen Park. Tom versuchte, eine gewagte Kurve zu nehmen, doch er stürzte. \nFelix half ihm auf und sie eiltenzu Toms Eltern, die in der Nähe picknickten. \nToms Mutter machte sich Sorgen um ihren Sohn und nahm ihn in den Arm. \nDa immer noch die Möglichkeit einer Irhaption bestand, wurde er sorgfältig überwacht. \nSie wollte vermeiden, dass ein Antibiotikum eingesetzt werden müsste. \nToms Mutter beruhigte sich allerdings nach kurzer Zeit wieder und atmete auf, \nals ihr Sohn lachte. Von nun an zogTom immer seine Knieschoner an \nund fuhr nicht mehr so waghalsig. Am nächsten Tag spielten Felix und Tom wieder \nzusammen im Park und sie verbrachten einen schönen Nachmittag zusammen.","Der Klassenlehrer, Herr Stahl, erzählte seiner vierten Klasse heute etwas über Ritter.\nJeder durfte sich melden und erzählen, was er schon über Ritter wusste.\nDaniel wusste besonders viel, denn er schaute gerne Cartoons über einen Ritter.\nHerr Stahl hatte heute etwas ganz Besonderes für seine Lieblingsklasse geplant.\nZur Veranschaulichung holte er ein Instrument hervor und legte es auf den Tisch.\nEs handelte sich um ein Werkzeug zur Fertigung der Rüstungen aus dem Mittelalter. \nHerr Stahl erklärte den Schülern, wie diese beeindruckenden Rüstungen den Rittern\nSchutz im Kampf boten. Anschließend gab Herr Stahl den Schülern eine Aufgabe.\nSie sollten nun ihre eigene Ritterrüstung auf ein Blatt malen.\nDaniel zeichnete eine Ritterrüstung, die so aussah wie in dem Cartoon.",2,mit,7,,0.84375,0.3424657534246575,1.0,7,1191.336032388664,150.0
9,P39LJ1,1,10,2444,2740,300,Inline-Skaten,8,2,"1042,00",994,155,"35,30","36,70",RIGHT,7,8,P39LJ1,Antibiotikum,everyday_pseudo,Irhaption,1,False,j,26.0,f,False,j,J1,practise,24_everyday_pseudo,True,1,Schaute Daniel gerne Cartoons über Ritter?,Sind Felix und Tom Skateboard gefahren?,everyday,19.0,"Felix und Tom verbrachten den Nachmittag mit Inline-Skaten \nim nahegelegenen Park. Tom versuchte, eine gewagte Kurve zu nehmen, doch er stürzte. \nFelix half ihm auf und sie eiltenzu Toms Eltern, die in der Nähe picknickten. \nToms Mutter machte sich Sorgen um ihren Sohn und nahm ihn in den Arm. \nDa immer noch die Möglichkeit einer Irhaption bestand, wurde er sorgfältig überwacht. \nSie wollte vermeiden, dass ein Antibiotikum eingesetzt werden müsste. \nToms Mutter beruhigte sich allerdings nach kurzer Zeit wieder und atmete auf, \nals ihr Sohn lachte. Von nun an zogTom immer seine Knieschoner an \nund fuhr nicht mehr so waghalsig. Am nächsten Tag spielten Felix und Tom wieder \nzusammen im Park und sie verbrachten einen schönen Nachmittag zusammen.","Der Klassenlehrer, Herr Stahl, erzählte seiner vierten Klasse heute etwas über Ritter.\nJeder durfte sich melden und erzählen, was er schon über Ritter wusste.\nDaniel wusste besonders viel, denn er schaute gerne Cartoons über einen Ritter.\nHerr Stahl hatte heute etwas ganz Besonderes für seine Lieblingsklasse geplant.\nZur Veranschaulichung holte er ein Instrument hervor und legte es auf den Tisch.\nEs handelte sich um ein Werkzeug zur Fertigung der Rüstungen aus dem Mittelalter. \nHerr Stahl erklärte den Schülern, wie diese beeindruckenden Rüstungen den Rittern\nSchutz im Kampf boten. Anschließend gab Herr Stahl den Schülern eine Aufgabe.\nSie sollten nun ihre eigene Ritterrüstung auf ein Blatt malen.\nDaniel zeichnete eine Ritterrüstung, die so aussah wie in dem Cartoon.",2,Inline-Skaten,8,,0.6991869918699187,0.410958904109589,1.0,8,1467.6518218623482,155.0
